time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weather_code,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,precipitation_sum,precipitation_probability_max,rain_sum,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_min,cloud_cover_max,cloud_cover_mean,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,precipitation_probability_mean,precipitation_probability_min,sunrise,sunset,daylight_duration,sunshine_duration,showers_sum,et0_fao_evapotranspiration,et0_fao_evapotranspiration_sum
2025-11-01,30.0,27.3,37.2,32.6,80.0,28.6,88.0,72.0,82.0,0.9,63,0.0,34.3,13.6,21.2,0.0,100.0,41.0,25.1,25.8,24.4,15.8,9.5,8.3,4.6,26.0,26.4,25.7,21,0,2025-11-01T05:50,2025-11-01T17:34,42221.26,38892.5,0.9,4.48,4.48
2025-11-02,30.2,28.1,36.8,34.0,80.0,29.1,88.0,74.0,80.0,1.4,70,0.0,35.1,12.9,20.2,0.0,100.0,68.0,25.3,25.9,24.7,12.3,7.5,2.2,0.4,26.3,26.7,25.8,24,0,2025-11-02T05:50,2025-11-02T17:34,42190.94,38868.68,1.4,4.04,4.04
2025-11-03,29.2,27.6,36.0,33.2,95.0,28.6,90.0,77.0,83.0,9.3,100,0.0,34.7,11.7,17.3,67.0,100.0,97.0,25.4,26.4,24.5,11.0,6.6,1.8,1.3,26.2,27.1,25.6,63,0,2025-11-03T05:51,2025-11-03T17:33,42161.04,25896.22,9.3,3.18,3.18
2025-11-04,29.0,26.3,35.6,30.4,80.0,27.9,90.0,73.0,81.0,4.3,90,0.0,32.6,22.6,32.0,20.0,100.0,73.0,24.3,24.9,23.1,19.0,12.6,7.9,3.4,25.3,25.8,24.5,57,18,2025-11-04T05:51,2025-11-04T17:33,42131.3,38840.6,4.3,4.11,4.11
2025-11-05,29.3,25.9,36.5,29.8,95.0,27.8,89.0,71.0,81.0,7.5,88,0.0,32.6,19.4,28.4,16.0,81.0,48.0,24.2,25.2,23.4,18.2,11.8,9.4,3.9,25.2,25.9,24.0,39,0,2025-11-05T05:51,2025-11-05T17:33,42101.74,38831.41,7.5,4.54,4.54
2025-11-06,29.6,27.6,36.7,32.1,80.0,28.5,87.0,72.0,80.0,2.6,90,0.0,33.9,15.9,22.7,25.0,100.0,66.0,24.7,25.3,24.0,14.6,9.2,8.6,2.5,25.7,26.1,25.3,32,0,2025-11-06T05:52,2025-11-06T17:33,42072.38,38783.49,2.6,4.16,4.16
2025-11-07,30.3,28.0,37.0,33.1,80.0,28.9,87.0,71.0,80.0,1.5,58,0.0,34.3,14.8,21.6,0.0,100.0,71.0,25.1,25.8,24.3,16.6,10.9,11.2,5.9,26.1,26.4,25.8,23,3,2025-11-07T05:52,2025-11-07T17:33,42043.26,38103.41,1.5,4.36,4.36
2025-11-08,30.3,28.2,36.1,31.4,3.0,29.1,86.0,72.0,80.0,0.6,68,0.0,33.3,31.6,46.4,1.0,100.0,91.0,25.3,26.2,24.5,29.5,20.1,18.7,12.5,26.3,26.9,25.8,20,0,2025-11-08T05:52,2025-11-08T17:32,42014.4,36850.56,0.6,4.78,4.78
2025-11-09,30.1,28.4,35.7,30.8,80.0,29.2,83.0,75.0,80.0,0.8,25,0.0,33.1,32.6,48.2,21.0,100.0,80.0,25.3,26.2,24.8,35.0,22.4,13.0,7.4,26.3,27.0,25.7,10,0,2025-11-09T05:53,2025-11-09T17:32,41985.85,37397.45,0.8,4.73,4.73
2025-11-10,30.1,28.3,36.7,33.8,96.0,28.8,86.0,75.0,82.0,10.1,95,0.0,34.6,14.6,19.8,59.0,100.0,98.0,25.4,26.1,24.6,13.5,8.3,5.0,2.3,26.3,26.8,25.6,37,0,2025-11-10T05:53,2025-11-10T17:32,41957.63,20683.57,10.1,3.32,3.32
2025-11-11,28.7,26.7,34.2,31.2,95.0,27.9,91.0,80.0,85.0,12.1,98,0.0,33.1,19.9,28.1,52.0,100.0,92.0,25.1,25.7,24.4,16.6,10.9,6.1,3.4,25.8,26.5,25.2,70,23,2025-11-11T05:53,2025-11-11T17:32,41929.78,19054.32,12.1,2.88,2.88
2025-11-12,29.4,27.7,35.5,31.0,80.0,28.3,86.0,75.0,82.0,5.4,53,0.0,32.6,26.7,38.2,54.0,100.0,95.0,24.9,25.4,24.5,25.3,16.9,16.9,9.8,25.7,26.0,25.5,31,13,2025-11-12T05:54,2025-11-12T17:32,41902.32,34446.71,5.4,4.16,4.16
2025-11-13,29.3,26.1,34.6,31.1,80.0,27.8,92.0,70.0,82.0,1.2,73,0.0,32.5,22.2,31.7,38.0,100.0,74.0,24.4,25.4,23.2,19.9,13.1,6.5,2.7,25.3,25.8,24.9,26,0,2025-11-13T05:54,2025-11-13T17:32,41875.3,37975.47,1.2,4.33,4.33
2025-11-14,29.5,26.8,36.2,30.7,80.0,28.0,90.0,71.0,80.0,2.7,85,0.0,32.7,22.7,32.0,25.0,100.0,64.0,24.3,25.2,23.6,18.6,11.7,6.8,2.9,25.2,25.7,24.9,56,28,2025-11-14T05:54,2025-11-14T17:32,41848.75,38621.92,2.7,4.16,4.16
2025-11-15,28.4,25.8,35.0,31.0,95.0,27.0,90.0,79.0,84.0,15.8,93,0.0,32.4,8.7,16.6,91.0,100.0,99.0,24.0,24.4,23.6,9.9,5.6,5.0,2.4,24.8,25.4,24.5,75,57,2025-11-15T05:55,2025-11-15T17:32,41822.7,30044.08,15.6,2.89,2.89
2025-11-16,28.2,25.6,33.9,30.8,80.0,27.1,91.0,77.0,82.0,2.5,83,0.0,32.4,7.6,13.7,100.0,100.0,100.0,23.7,24.1,23.3,8.5,5.0,4.3,2.5,24.6,24.9,24.0,66,53,2025-11-16T05:55,2025-11-16T17:32,41797.19,30407.5,2.5,3.11,3.11
2025-11-17,28.9,26.3,35.1,30.8,3.0,27.7,87.0,75.0,81.0,2.1,50,0.0,32.3,25.5,37.1,52.0,100.0,86.0,24.1,24.7,23.7,18.3,12.1,7.2,4.7,25.1,25.5,24.6,42,33,2025-11-17T05:55,2025-11-17T17:32,41772.25,37524.38,2.1,4.07,4.07
2025-11-18,29.3,27.5,34.8,29.6,3.0,28.3,86.0,74.0,81.0,0.6,42,0.0,31.8,33.8,49.3,46.0,99.0,64.0,24.7,25.1,24.0,32.3,22.0,24.1,15.8,25.6,25.9,25.3,30,26,2025-11-18T05:56,2025-11-18T17:32,41747.93,39148.84,0.6,4.68,4.68
2025-11-19,28.9,25.4,35.0,29.6,3.0,27.5,93.0,76.0,84.0,0.6,43,0.0,31.8,30.5,47.9,42.0,100.0,66.0,24.5,25.2,23.3,25.6,15.0,10.1,4.9,25.2,25.8,23.9,27,18,2025-11-19T05:56,2025-11-19T17:32,41724.25,39121.53,0.6,4.08,4.08
2025-11-20,27.4,23.6,33.0,28.0,53.0,25.3,96.0,80.0,89.0,4.2,71,0.0,30.1,9.3,28.4,100.0,100.0,100.0,23.4,24.2,22.6,16.1,6.7,2.9,1.5,23.9,24.9,23.0,44,13,2025-11-20T05:57,2025-11-20T17:32,41701.25,37824.37,4.2,2.52,2.52
2025-11-21,29.2,23.1,34.6,27.4,51.0,26.1,96.0,68.0,82.0,0.3,48,0.0,30.4,14.6,31.7,87.0,100.0,98.0,22.6,23.0,22.3,15.6,8.0,3.2,1.1,23.6,24.5,22.6,34,6,2025-11-21T05:57,2025-11-21T17:32,41678.97,38217.11,0.3,3.78,3.78
2025-11-22,28.5,24.6,34.7,29.2,53.0,26.2,91.0,71.0,83.0,2.1,37,0.0,30.7,20.6,39.6,94.0,100.0,98.0,23.1,23.9,22.3,16.8,8.1,4.7,0.7,23.9,24.8,23.0,25,12,2025-11-22T05:58,2025-11-22T17:32,41657.45,38679.46,2.1,3.54,3.54
2025-11-23,30.2,24.1,36.3,28.5,51.0,26.9,90.0,63.0,78.0,0.3,46,0.0,31.2,15.8,33.1,27.0,100.0,72.0,22.6,23.3,22.3,17.1,8.5,5.0,2.2,23.8,24.7,22.8,32,6,2025-11-23T05:58,2025-11-23T17:32,41636.64,39016.35,0.3,4.21,4.21
2025-11-24,29.2,24.5,34.0,29.1,51.0,26.4,89.0,68.0,81.0,0.6,56,0.0,30.8,14.0,31.3,100.0,100.0,100.0,22.9,24.0,22.2,15.0,7.2,4.0,2.1,23.9,24.7,22.9,36,10,2025-11-24T05:58,2025-11-24T17:32,41616.31,38454.21,0.6,2.89,2.89
2025-11-25,30.3,24.3,34.7,28.8,51.0,26.3,90.0,63.0,83.0,0.6,46,0.0,31.1,8.3,25.2,100.0,100.0,100.0,23.0,24.0,22.4,11.2,5.0,4.3,1.8,23.9,24.8,23.0,37,19,2025-11-25T05:59,2025-11-25T17:32,41596.47,26184.06,0.6,2.3,2.3
2025-11-26,28.5,23.9,35.2,28.6,51.0,26.3,95.0,72.0,84.0,1.5,39,0.0,31.2,14.0,28.8,76.0,100.0,93.0,23.4,24.3,22.7,14.1,7.3,3.6,2.6,24.2,25.4,23.1,32,12,2025-11-26T05:59,2025-11-26T17:32,41577.14,38397.16,1.5,3.79,3.79
2025-11-27,30.7,24.2,35.7,29.2,51.0,26.1,94.0,60.0,84.0,0.6,33,0.0,31.0,8.6,20.5,92.0,100.0,100.0,23.0,24.3,22.0,10.3,4.6,3.2,0.7,23.9,24.9,23.0,20,2,2025-11-27T06:00,2025-11-27T17:33,41558.36,37106.92,0.6,2.82,2.82
