time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weather_code,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,precipitation_sum,precipitation_probability_max,rain_sum,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_min,cloud_cover_max,cloud_cover_mean,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,precipitation_probability_mean,precipitation_probability_min,sunrise,sunset,daylight_duration,sunshine_duration,showers_sum,et0_fao_evapotranspiration,et0_fao_evapotranspiration_sum
2025-09-04,30.7,28.0,37.3,32.8,81.0,29.1,89.0,71.0,81.0,6.7,68,0.0,34.3,21.3,32.4,71.0,100.0,99.0,25.5,26.3,24.7,22.4,13.6,13.7,7.7,26.4,26.8,26.1,22,0,2025-09-04T05:49,2025-09-04T18:06,44257.98,29296.7,6.7,4.38,4.38
2025-09-05,28.7,26.5,34.3,32.0,95.0,27.6,90.0,77.0,84.0,8.1,65,0.0,33.4,12.4,19.1,92.0,100.0,100.0,24.7,25.5,24.2,10.8,5.5,2.2,1.1,25.4,26.2,24.9,38,5,2025-09-05T05:49,2025-09-05T18:06,44222.91,552.52,8.2,2.53,2.53
2025-09-06,30.0,25.8,36.8,30.2,80.0,27.6,90.0,67.0,81.0,6.9,93,0.0,32.8,12.4,19.8,65.0,100.0,97.0,24.1,24.5,23.2,14.2,8.2,2.5,1.1,25.0,25.4,24.4,40,0,2025-09-06T05:49,2025-09-06T18:05,44187.59,23839.16,6.9,3.88,3.88
2025-09-07,28.8,26.1,35.3,31.2,95.0,27.3,87.0,79.0,83.0,12.4,95,0.0,32.8,10.2,18.0,84.0,100.0,98.0,24.2,24.9,23.7,12.1,6.1,3.2,0.7,25.0,25.8,24.3,71,28,2025-09-07T05:48,2025-09-07T18:04,44152.05,31794.63,12.4,3.64,3.64
2025-09-08,29.4,25.5,36.8,30.6,95.0,27.5,93.0,71.0,82.0,3.3,53,0.0,33.2,8.7,20.2,26.0,100.0,85.0,24.1,24.7,23.2,11.2,5.3,2.2,0.5,25.0,25.5,24.5,29,3,2025-09-08T05:48,2025-09-08T18:04,44116.32,33891.09,3.3,4.15,4.15
2025-09-09,31.0,27.1,38.3,32.5,80.0,28.7,88.0,63.0,81.0,1.8,45,0.0,34.3,16.4,25.2,31.0,100.0,75.0,25.0,26.0,23.1,17.1,10.2,10.1,3.1,25.9,26.7,25.4,13,0,2025-09-09T05:48,2025-09-09T18:03,44080.42,37565.81,1.9,4.9,4.9
2025-09-10,31.0,28.2,38.8,32.7,80.0,29.4,87.0,73.0,81.0,0.8,70,0.0,34.6,22.7,34.9,27.0,100.0,80.0,25.8,26.1,25.3,25.0,15.5,14.0,7.0,26.7,27.0,26.3,12,0,2025-09-10T05:48,2025-09-10T18:02,44044.38,39043.93,0.8,5.0,5.0
2025-09-11,32.0,28.4,39.3,32.1,80.0,29.6,87.0,67.0,80.0,4.0,80,0.0,34.8,25.0,39.2,55.0,100.0,88.0,25.8,26.6,25.0,26.7,16.0,15.8,7.7,26.7,27.2,26.2,20,0,2025-09-11T05:48,2025-09-11T18:02,44008.2,37789.63,4.0,5.18,5.18
2025-09-12,30.3,26.6,36.4,31.2,80.0,28.2,93.0,70.0,83.0,5.6,85,0.0,33.6,17.8,27.7,93.0,100.0,100.0,25.0,26.5,24.2,16.1,9.4,8.6,2.6,25.8,27.1,25.3,28,0,2025-09-12T05:48,2025-09-12T18:01,43971.93,15881.58,5.6,3.42,3.42
2025-09-13,30.4,27.0,37.8,32.3,95.0,28.6,86.0,70.0,80.0,3.1,55,0.0,34.5,15.3,23.0,29.0,100.0,83.0,24.7,25.7,24.0,12.2,6.7,2.9,1.0,25.7,26.5,24.9,29,0,2025-09-13T05:48,2025-09-13T18:00,43935.59,37178.54,3.1,4.7,4.7
